tweet_id,favorites,retweets,date_time
671486386088865792,576,206,2015-12-01 00:30:04+00:00
671485057807351808,758,234,2015-12-01 00:24:48+00:00
671390180817915904,1427,740,2015-11-30 18:07:47+00:00
671362598324076544,1100,297,2015-11-30 16:18:11+00:00
671357843010908160,398,150,2015-11-30 15:59:17+00:00
671355857343524864,480,115,2015-11-30 15:51:24+00:00
671347597085433856,951,431,2015-11-30 15:18:34+00:00
671186162933985280,734,212,2015-11-30 04:37:05+00:00
671182547775299584,1113,350,2015-11-30 04:22:44+00:00
671166507850801152,867,354,2015-11-30 03:18:59+00:00
671163268581498880,1657,1114,2015-11-30 03:06:07+00:00
671159727754231808,370,82,2015-11-30 02:52:03+00:00
671154572044468225,710,220,2015-11-30 02:31:34+00:00
671151324042559489,666,156,2015-11-30 02:18:39+00:00
671147085991960577,669,228,2015-11-30 02:01:49+00:00
671141549288370177,1154,664,2015-11-30 01:39:49+00:00
671138694582165504,918,405,2015-11-30 01:28:28+00:00
671134062904504320,747,198,2015-11-30 01:10:04+00:00
671122204919246848,3481,2540,2015-11-30 00:22:57+00:00
671115716440031232,1365,782,2015-11-29 23:57:10+00:00
671109016219725825,1138,443,2015-11-29 23:30:32+00:00
670995969505435648,1101,296,2015-11-29 16:01:20+00:00
670842764863651840,24540,8786,2015-11-29 05:52:33+00:00
670840546554966016,588,194,2015-11-29 05:43:44+00:00
670838202509447168,1102,700,2015-11-29 05:34:25+00:00
670833812859932673,442,126,2015-11-29 05:16:59+00:00
670832455012716544,729,219,2015-11-29 05:11:35+00:00
670826280409919488,5529,4083,2015-11-29 04:47:03+00:00
670823764196741120,773,195,2015-11-29 04:37:03+00:00
670822709593571328,612,96,2015-11-29 04:32:51+00:00
670815497391357952,3165,1549,2015-11-29 04:04:12+00:00
670811965569282048,1119,274,2015-11-29 03:50:10+00:00
670807719151067136,1152,498,2015-11-29 03:33:17+00:00
670804601705242624,1954,969,2015-11-29 03:20:54+00:00
670803562457407488,340,87,2015-11-29 03:16:46+00:00
670797304698376195,734,240,2015-11-29 02:51:54+00:00
670792680469889025,826,281,2015-11-29 02:33:32+00:00
670789397210615808,656,244,2015-11-29 02:20:29+00:00
670786190031921152,601,200,2015-11-29 02:07:44+00:00
670783437142401025,816,397,2015-11-29 01:56:48+00:00
670782429121134593,1554,777,2015-11-29 01:52:48+00:00
670780561024270336,784,290,2015-11-29 01:45:22+00:00
670778058496974848,325,74,2015-11-29 01:35:26+00:00
670764103623966721,1069,422,2015-11-29 00:39:59+00:00
670755717859713024,437,111,2015-11-29 00:06:39+00:00
670733412878163972,956,518,2015-11-28 22:38:01+00:00
670727704916926465,821,364,2015-11-28 22:15:21+00:00
670717338665226240,1199,500,2015-11-28 21:34:09+00:00
670704688707301377,769,374,2015-11-28 20:43:53+00:00
670691627984359425,589,247,2015-11-28 19:51:59+00:00
670679630144274432,746,282,2015-11-28 19:04:19+00:00
670676092097810432,244,43,2015-11-28 18:50:15+00:00
670668383499735048,10678,5075,2015-11-28 18:19:37+00:00
670474236058800128,1510,756,2015-11-28 05:28:09+00:00
670468609693655041,352,86,2015-11-28 05:05:47+00:00
670465786746662913,973,555,2015-11-28 04:54:34+00:00
670452855871037440,546,205,2015-11-28 04:03:11+00:00
670449342516494336,1190,667,2015-11-28 03:49:14+00:00
670444955656130560,6709,1996,2015-11-28 03:31:48+00:00
670442337873600512,641,201,2015-11-28 03:21:24+00:00
670435821946826752,1048,519,2015-11-28 02:55:30+00:00
670434127938719744,1395,653,2015-11-28 02:48:46+00:00
670433248821026816,326,114,2015-11-28 02:45:17+00:00
670428280563085312,1373,631,2015-11-28 02:25:32+00:00
670427002554466305,521,166,2015-11-28 02:20:27+00:00
670421925039075328,1301,636,2015-11-28 02:00:17+00:00
670420569653809152,626,318,2015-11-28 01:54:54+00:00
670417414769758208,565,318,2015-11-28 01:42:22+00:00
670411370698022913,2013,906,2015-11-28 01:18:21+00:00
670408998013820928,554,228,2015-11-28 01:08:55+00:00
670403879788544000,430,157,2015-11-28 00:48:35+00:00
670385711116361728,554,208,2015-11-27 23:36:23+00:00
670374371102445568,746,273,2015-11-27 22:51:19+00:00
670361874861563904,328,69,2015-11-27 22:01:40+00:00
670338931251150849,421,112,2015-11-27 20:30:30+00:00
670319130621435904,3857,1232,2015-11-27 19:11:49+00:00
670303360680108032,426,137,2015-11-27 18:09:09+00:00
670290420111441920,701,289,2015-11-27 17:17:44+00:00
670093938074779648,1019,335,2015-11-27 04:16:59+00:00
670086499208155136,697,254,2015-11-27 03:47:25+00:00
670079681849372674,2218,1242,2015-11-27 03:20:20+00:00
670073503555706880,1576,797,2015-11-27 02:55:47+00:00
670069087419133954,625,243,2015-11-27 02:38:14+00:00
670061506722140161,763,346,2015-11-27 02:08:07+00:00
670055038660800512,668,335,2015-11-27 01:42:24+00:00
670046952931721218,641,177,2015-11-27 01:10:17+00:00
670040295598354432,753,113,2015-11-27 00:43:49+00:00
670037189829525505,585,278,2015-11-27 00:31:29+00:00
670003130994700288,333,93,2015-11-26 22:16:09+00:00
669993076832759809,325,86,2015-11-26 21:36:12+00:00
669972011175813120,447,159,2015-11-26 20:12:29+00:00
669970042633789440,302,62,2015-11-26 20:04:40+00:00
669942763794931712,501,166,2015-11-26 18:16:16+00:00
669926384437997569,370,105,2015-11-26 17:11:11+00:00
669923323644657664,233,57,2015-11-26 16:59:01+00:00
669753178989142016,808,405,2015-11-26 05:42:55+00:00
669749430875258880,265,65,2015-11-26 05:28:02+00:00
669684865554620416,512,90,2015-11-26 01:11:28+00:00
669683899023405056,387,112,2015-11-26 01:07:38+00:00
669682095984410625,348,136,2015-11-26 01:00:28+00:00
669680153564442624,662,294,2015-11-26 00:52:45+00:00
669661792646373376,799,441,2015-11-25 23:39:47+00:00
669625907762618368,3514,1830,2015-11-25 21:17:12+00:00
669603084620980224,941,366,2015-11-25 19:46:30+00:00
669597912108789760,513,151,2015-11-25 19:25:57+00:00
669583744538451968,1487,932,2015-11-25 18:29:39+00:00
669573570759163904,432,141,2015-11-25 17:49:14+00:00
669571471778410496,1584,1026,2015-11-25 17:40:53+00:00
669567591774625800,233,55,2015-11-25 17:25:28+00:00
669564461267722241,383,124,2015-11-25 17:13:02+00:00
669393256313184256,366,77,2015-11-25 05:52:43+00:00
669375718304980992,1327,734,2015-11-25 04:43:02+00:00
669371483794317312,498,182,2015-11-25 04:26:12+00:00
669367896104181761,459,158,2015-11-25 04:11:57+00:00
669363888236994561,615,227,2015-11-25 03:56:01+00:00
669359674819481600,370,124,2015-11-25 03:39:17+00:00
669354382627049472,2695,1288,2015-11-25 03:18:15+00:00
669353438988365824,642,264,2015-11-25 03:14:30+00:00
669351434509529089,438,188,2015-11-25 03:06:32+00:00
669328503091937280,1018,421,2015-11-25 01:35:25+00:00
669327207240699904,575,116,2015-11-25 01:30:16+00:00
669324657376567296,498,210,2015-11-25 01:20:08+00:00
669216679721873412,1189,406,2015-11-24 18:11:04+00:00
669214165781868544,437,167,2015-11-24 18:01:05+00:00
669203728096960512,1000,483,2015-11-24 17:19:36+00:00
669037058363662336,653,316,2015-11-24 06:17:19+00:00
669015743032369152,739,376,2015-11-24 04:52:37+00:00
669006782128353280,576,251,2015-11-24 04:17:01+00:00
669000397445533696,20842,6409,2015-11-24 03:51:38+00:00
668994913074286592,438,232,2015-11-24 03:29:51+00:00
668992363537309700,742,350,2015-11-24 03:19:43+00:00
668989615043424256,676,332,2015-11-24 03:08:48+00:00
668988183816871936,891,476,2015-11-24 03:03:06+00:00
668986018524233728,551,171,2015-11-24 02:54:30+00:00
668981893510119424,534,307,2015-11-24 02:38:07+00:00
